PlayerHeroId1,PlayerHeroPower1,PlayerHeroId2,PlayerHeroPower2,PlayerHeroId3,PlayerHeroPower3,PlayerHeroId4,PlayerHeroPower4,PlayerHeroId5,PlayerHeroPower5,OpponentHeroId1,OpponentHeroPower1,OpponentHeroId2,OpponentHeroPower2,OpponentHeroId3,OpponentHeroPower3,OpponentHeroId4,OpponentHeroPower4,OpponentHeroId5,OpponentHeroPower5,IsVictory
Bullseye,14068,MercDmg_Single,287,Taskmaster,3360,MercSupport_Buffs,8377,MercTank_Debuff,13381,HumanTorch,12254,Hulk,6813,Deadpool,2559,WinterSoldier,287,Cable,12904,1
Bullseye,14068,MercDmg_Single,287,Taskmaster,3360,MercSupport_Buffs,8377,MercTank_Debuff,13381,Cable,12904,WinterSoldier,287,Deadpool,2559,Hulk,6813,HumanTorch,12254,1
MercTank_Debuff,13381,MercSupport_Buffs,8377,Taskmaster,3360,MercDmg_Single,287,Bullseye,14068,HumanTorch,12254,Hulk,6813,Deadpool,2559,WinterSoldier,287,Cable,12904,1
MercTank_Debuff,13381,MercSupport_Buffs,8377,Taskmaster,3360,MercDmg_Single,287,Bullseye,14068,Cable,12904,WinterSoldier,287,Deadpool,2559,Hulk,6813,HumanTorch,12254,1
MercDmg_General,10751,WinterSoldier,10773,Punisher,9038,Yelena,4914,RedGuardian,6569,Hulk,288,Thing,2699,Thanos,13032,Hela,6475,Heimdall,12424,1
MercDmg_General,10751,WinterSoldier,10773,Punisher,9038,Yelena,4914,RedGuardian,6569,Heimdall,12424,Hela,6475,Thanos,13032,Thing,2699,Hulk,288,1
RedGuardian,6569,Yelena,4914,Punisher,9038,WinterSoldier,10773,MercDmg_General,10751,Hulk,288,Thing,2699,Thanos,13032,Hela,6475,Heimdall,12424,1
RedGuardian,6569,Yelena,4914,Punisher,9038,WinterSoldier,10773,MercDmg_General,10751,Heimdall,12424,Hela,6475,Thanos,13032,Thing,2699,Hulk,288,1
HydraDmg_Single,287,HydraDmg_AoE,331,HydraSupport_Heal,502,Zemo,46549,Crossbones,8876,IronMan,288,Thor,7422,CaptainAmerica,310,Hawkeye,473,Hulk,41809,1
HydraDmg_Single,287,HydraDmg_AoE,331,HydraSupport_Heal,502,Zemo,46549,Crossbones,8876,Hulk,41809,Hawkeye,473,CaptainAmerica,310,Thor,7422,IronMan,288,1
