id,translation
ID_ABILITY_RAVAGERDMG_AOE_VAR_BASIC_DMG,thislevel.basic.action.0.stat_modifier.0.delta
ID_ABILITY_RAVAGERDMG_AOE_VAR_BASIC_SLOW_CHANCE,thislevel.basic.action.1.action_pct
ID_ABILITY_RAVAGERDMG_AOE_VAR_BASIC_SPEEDUP_CHANCE,thislevel.basic.action.2.action_pct
ID_ABILITY_RAVAGERDMG_AOE_VAR_SPECIAL_DMG_PRIMARY,thislevel.special.action.0.stat_modifier.0.delta
ID_ABILITY_RAVAGERDMG_AOE_VAR_SPECIAL_DMG_ADJACENT,thislevel.special.action.2.stat_modifier.0.delta
ID_ABILITY_RAVAGERDMG_AOE_VAR_SPECIAL_SPEEDBAR_REDUCTION,thislevel.special.action.1.change_pct
ID_ABILITY_RAVAGERDMG_AOE_VAR_SPECIAL_SPEEDBAR_GAIN,thislevel.special.action.4.change_pct
ID_ABILITY_RAVAGERDMG_AOE_VAR_PASSIVE_ASSIST,thislevel.passive_stats.0.delta
ID_ABILITY_RAVAGERDMG_AOE_VAR_PASSIVE_ASSIST_RAVAGER,thislevel.passive_stats.1.delta
ID_ABILITY_RAVAGERDMG_AOE_VAR_PASSIVE_SPAWNPROC_DURATION,thislevel.passive.0.action.0.procs.0.use_count
ID_ABILITY_RAVAGERDMG_AOE_VAR_PASSIVE_SPAWNPROC_TARGETS,thislevel.passive.0.action.0.target.limit
ID_ABILITY_RAVAGERDMG_AOE_VAR_PASSIVE_CHARGED_HEAL,thislevel.passive.2.action.2.heal_pct
ID_ABILITY_RAVAGERDMG_AOE_VAR_PASSIVE_CHARGED_DMG,thislevel.dynamic_stats.0.delta
ID_ABILITY_RAVAGERDMG_AOE_VAR_PASSIVE_CHARGED_DRAIN,thislevel.dynamic_stats.1.delta
ID_ABILITY_RAVAGERSUPPORT_HEAL_VAR_BASIC_PIERCING,thislevel.basic.action.0.stat_modifier.0.delta
ID_ABILITY_RAVAGERSUPPORT_HEAL_VAR_BASIC_BONUSPIERCING,thislevel.basic.action.1.stat_modifier.0.delta
ID_ABILITY_RAVAGERSUPPORT_HEAL_VAR_BASIC_HEALBLOCK_CHANCE,thislevel.basic.action.2.action_pct
ID_ABILITY_RAVAGERSUPPORT_HEAL_VAR_SPECIAL_FIRST_DRAIN,thislevel.special.action.0.drain_pct
ID_ABILITY_RAVAGERSUPPORT_HEAL_VAR_SPECIAL_FIRST_HEAL,thislevel.special.action.2.heal_amt
ID_ABILITY_RAVAGERSUPPORT_HEAL_VAR_SPECIAL_FIRST_MAXHEALTHPCT,thislevel.special.action.2.heal_pct
ID_ABILITY_RAVAGERSUPPORT_HEAL_VAR_SPECIAL_SECOND_DRAIN,thislevel.special.action.4.drain_pct
ID_ABILITY_RAVAGERSUPPORT_HEAL_VAR_SPECIAL_SECOND_HEAL,thislevel.special.action.6.heal_amt
ID_ABILITY_RAVAGERSUPPORT_HEAL_VAR_SPECIAL_SECOND_MAXHEALTHPCT,thislevel.special.action.6.heal_pct
ID_ABILITY_RAVAGERSUPPORT_HEAL_VAR_PASSIVE_BONUSHEALTH,thislevel.passive_stats.0.delta
ID_ABILITY_RAVAGERSUPPORT_HEAL_VAR_PASSIVE_SPAWNPROC_DURATION,thislevel.passive.0.action.0.procs.0.use_count
ID_ABILITY_RAVAGERSUPPORT_HEAL_VAR_PASSIVE_SPAWNPROC_TARGETS,thislevel.passive.0.action.0.procs.0.target.limit
ID_ABILITY_RAVAGERSUPPORT_HEAL_VAR_PASSIVE_CHARGED_HEAL,thislevel.passive.1.action.2.heal_pct
ID_ABILITY_RAVAGERSUPPORT_HEAL_VAR_PASSIVE_CHARGED_BONUSSPEED,thislevel.dynamic_stats.0.delta
ID_ABILITY_RAVAGERSUPPORT_HEAL_VAR_PASSIVE_CHARGED_BONUSHEALING,thislevel.dynamic_stats.1.delta
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_BASIC_DAMAGE,thislevel.basic.action.0.stat_modifier.0.delta
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_BASIC_CHAINCHANCE,thislevel.basic.action.2.action_pct
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_BASIC_ADJACENTTARGETS,thislevel.basic.action.2.target.limit
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_BASIC_DAMAGE_ADJACENT,thislevel.basic.action.2.stat_modifier.0.delta
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_BASIC_PROC_DURATION,thislevel.basic.action.4.procs.0.use_count
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_BASIC_BARRIER,thislevel.basic.action.1.health_pct
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_BASIC_BARRIER_RAVAGERBONUS,thislevel.basic.action.1.foreach_stat.0.delta
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_BASIC_EXTRAFOCUS,thislevel.basic.action.6.stat_modifier.0.delta
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_BASIC_DIFF_DAMAGE,nextlevel.basic.action.0.stat_modifier.0.delta - thislevel.basic.action.0.stat_modifier.0.delta
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_BASIC_NEXTLEVEL_BARRIER,nextlevel.basic.action.1.health_pct
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_BASIC_NEXTLEVEL_CHAINCHANCE,nextlevel.basic.action.2.action_pct
ID_ABILITY_RAVAGERTANK_TAUNT_VAR_BASIC_NEXTLEVEL_DAMAGE_ADJACENT,nextlevel.basic.action.2.stat_modifier.0.delta
