id,translation
ID_RES_CAMPAIGN_PLAYER_ENERGY,Campaign Energy
ID_RES_CAMPAIGN_PLAYER_ENERGY_ISO8,Iso-8 Campaign Energy
ID_ISO8-TIER-0-CURRENCY_NAME,T1 Ions
ID_ISO8-TIER-1-A-CURRENCY_NAME,T2 Level 1 Ions
ID_ISO8-TIER-1-A-CURRENCY_DESCRIPTION,Use T2 Level 1 Ions to fuse T2 Iso-8 Crystals up to Level 3 or to upgrade Classes up to Level 3.
ID_ISO8-TIER-1-B-CURRENCY_NAME,T2 Level 4 Ions
ID_ISO8-TIER-1-B-CURRENCY_DESCRIPTION,Use T2 Level 4 Ions to fuse T2 Iso-8 Crystals from Level 3 to Level 4 or to upgrade Classes from Level 3 to Level 4.
ID_ISO8-TIER-1-C-CURRENCY_NAME,T2 Level 5 Ions
ID_ISO8-TIER-1-C-CURRENCY_DESCRIPTION,Use T2 Level 5 Ions to fuse T2 Iso-8 Crystals from Level 4 to Level 5 or to upgrade Classes from Level 4 to Level 5.
ID_RES_AVA_ATTACK_ENERGY,War Energy
ID_RES_AVE_ATTACK_ENERGY,Raid Energy
ID_RES_AVE_ATTACK_ENERGY_EVENT01,Alpha Raid Energy
ID_RES_AVE_ATTACK_ENERGY_EVENT02,Beta Raid Energy
ID_RES_AVE_ATTACK_ENERGY_EVENT03,Gamma Raid Energy
ID_RES_AVE_ATTACK_ENERGY_EVENT04,Delta Raid Energy
ID_RES_AVE_ATTACK_ENERGY_EVENT05,Champions' Raid Energy
ID_RES_SYNC_PVP_ENERGY,Challenge Token
ID_AVE_ATTACK_ENERGY_EVENT01_NAME,Alpha Raid Energy
ID_AVE_ATTACK_ENERGY_EVENT02_NAME,Beta Raid Energy
ID_AVE_ATTACK_ENERGY_EVENT03_NAME,Gamma Raid Energy
ID_AVE_ATTACK_ENERGY_EVENT04_NAME,Delta Raid Energy
ID_AVE_ATTACK_ENERGY_EVENT05_NAME,Champions' Raid Energy
ID_AVE_ATTACK_ENERGY_EVENT01_DESCRIPTION,Used to launch Alpha Raid missions.
ID_AVE_ATTACK_ENERGY_EVENT02_DESCRIPTION,Used to launch Beta Raid missions.
ID_AVE_ATTACK_ENERGY_EVENT03_DESCRIPTION,Used to launch Gamma Raid missions.
ID_AVE_ATTACK_ENERGY_EVENT04_DESCRIPTION,Used to launch Delta Raid missions.
ID_AVE_ATTACK_ENERGY_EVENT05_DESCRIPTION,Used to launch Ultimus VII Raid missions.
ID_AVE_KEY_ALPHA_NAME,Alpha Raid Key
ID_AVE_KEY_ALPHA_DESC,Collect keys to launch raids and earn ability materials. Each Campaign Energy you spend earns you one key.
ID_AVE_KEY_BETA_NAME,Beta Raid Key
